region,division,classification,position,status,item_status,number
Region IVA - CALABARZON,Division of Cabuyao City,Teaching Personnel,Special Education Teacher II,Filled,Regular,2
Region VI - Western Visayas,Division of Aklan,Security Personnel,Security Guard I,Filled,CTI,2
National Capital Region (NCR),Division of Quezon City,Non-Teaching Personnel,Administrative Aide III,Filled,CTI,2
National Capital Region (NCR),Division of Valenzuela,Related-Teaching Personnel,Guidance Counselor II,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Related-Teaching Personnel,Guidance Counselor II,Filled,Regular,2
Region V - Bicol,Division of Masbate,Teaching Personnel,Special Education Teacher III,Filled,Regular,2
National Capital Region (NCR),Division of Valenzuela,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Related-Teaching Personnel,Education Program Supervisor,Unfilled,CTI,2
National Capital Region (NCR),Division of Valenzuela,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region III - Central Luzon,Division of Cabanatuan City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region IVA - CALABARZON,Division of Cabuyao City,Teaching Personnel,Teacher II,Unfilled,Regular,2
Negros Island Region (NIR),Division of San Carlos City,Related-Teaching Personnel,Registrar I,Filled,Regular,2
Region V - Bicol,Division of Masbate City,Non-Teaching Personnel,Administrative Aide I,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Related-Teaching Personnel,Assistant Schools Division Superintendent,Unfilled,Regular,2
Region IVA - CALABARZON,Division of Dasmariñas City,Teaching Personnel,Special Education Teacher I,Unfilled,Regular,2
Region V - Bicol,Division of Masbate City,Non-Teaching Personnel,Administrative Officer I,Filled,Regular,2
Region III - Central Luzon,Division of Malolos City,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region V - Bicol,Division of Masbate City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region V - Bicol,Division of Masbate City,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region I - Ilocos,Division of Candon City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Non-Teaching Personnel,Administrative Assistant II,Unfilled,Regular,2
Region IVA - CALABARZON,Division of Cavite City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2
Region II - Cagayan Valley,Division of Quirino,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Non-Teaching Personnel,Nurse II,Unfilled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2
Region V - Bicol,Division of Masbate City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region V - Bicol,Division of Masbate City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Central Office,Central Office,Non-Teaching Personnel,Administrative Aide VI,Filled,CTI,2
National Capital Region (NCR),Division of San Juan City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region V - Bicol,Division of Masbate City,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,2
Region III - Central Luzon,Division of Malolos City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VI - Western Visayas,Division of Antique,School Head Personnel,School Principal II,Unfilled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Non-Teaching Personnel,Dentist II,Unfilled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Non-Teaching Personnel,Nurse II,Filled,Regular,2
Region II - Cagayan Valley,Division of Quirino,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Negros Island Region (NIR),Division of Sagay City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region V - Bicol,Division of Masbate City,School Head Personnel,School Principal IV,Filled,Regular,2
Region V - Bicol,Division of Masbate City,Security Personnel,Security Guard I,Filled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
National Capital Region (NCR),Division of Valenzuela,Non-Teaching Personnel,Dentist II,Filled,Regular,2
National Capital Region (NCR),Division of Valenzuela,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region IVA - CALABARZON,Division of Cavite City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Negros Island Region (NIR),Division of Sagay City,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,2
Region III - Central Luzon,Division of Mabalacat City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Non-Teaching Personnel,Administrative Officer IV,Unfilled,Regular,2
Region V - Bicol,Division of Naga City,Non-Teaching Personnel,Accountant I,Filled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2
Region V - Bicol,Division of Naga City,Non-Teaching Personnel,Administrative Aide II,Filled,Regular,2
National Capital Region (NCR),Division of Quezon City,Non-Teaching Personnel,Administrative Officer III,Unfilled,CTI,2
Region IVA - CALABARZON,Division of Calaca City,School Head Personnel,School Principal IV,Filled,Regular,2
Negros Island Region (NIR),Division of San Carlos City,Related-Teaching Personnel,Guidance Counselor I,Unfilled,Regular,2
National Capital Region (NCR),Division of San Juan City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
National Capital Region (NCR),Division of San Juan City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2
Region IVA - CALABARZON,Regional Office - Proper,Non-Teaching Personnel,Planning Officer III,Filled,Regular,2
Region II - Cagayan Valley,Division of Isabela,Non-Teaching Personnel,Administrative Aide IV,Filled,CTI,2
Region VIII - Eastern Visayas,Division of Ormoc City,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Related-Teaching Personnel,School Librarian I,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Ormoc City,Related-Teaching Personnel,Head Teacher I,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Ormoc City,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Ormoc City,Teaching Personnel,Teacher III,Unfilled,Regular,2
Region IVA - CALABARZON,Regional Office - Proper,Non-Teaching Personnel,Supervising Administrative Officer,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Ormoc City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Aide I,Filled,CTI,2
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Aide III,Filled,Regular,2
Region XIII - CARAGA,Division of Tandag City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2
National Capital Region (NCR),Division of Quezon City,Non-Teaching Personnel,Administrative Officer IV,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Ormoc City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Negros Island Region (NIR),Division of Victorias City,Security Personnel,Security Guard I,Filled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Related-Teaching Personnel,Head Teacher II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Ormoc City,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Non-Teaching Personnel,Administrative Officer III,Filled,Regular,2
Region IVA - CALABARZON,Regional Office - Proper,Non-Teaching Personnel,Chief Administrative Officer,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Negros Island Region (NIR),Division of San Carlos City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region III - Central Luzon,Division of Angeles City,School Head Personnel,Assistant School Principal II,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Non-Teaching Personnel,Farm Worker I,Unfilled,CTI,2
Negros Island Region (NIR),Division of Himamaylan City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Officer I,Filled,Regular,2
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Officer III,Unfilled,CTI,2
Region VIII - Eastern Visayas,Division of Samar,Non-Teaching Personnel,Nurse II,Unfilled,CTI,2
Region VIII - Eastern Visayas,Division of Ormoc City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region IVB - MIMAROPA,Division of Calapan City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region III - Central Luzon,Division of Angeles City,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Teaching Personnel,Teacher III,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region I - Ilocos,Division of Pangasinan I,Non-Teaching Personnel,Administrative Aide III,Unfilled,CTI,2
Region IVB - MIMAROPA,Division of Calapan City,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region V - Bicol,Division of Naga City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region IVA - CALABARZON,Division of Calaca City,Teaching Personnel,Teacher IV,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Related-Teaching Personnel,Education Program Supervisor,Filled,CTI,2
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,2
Negros Island Region (NIR),Division of Sagay City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Related-Teaching Personnel,Head Teacher II,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Ormoc City,Non-Teaching Personnel,Administrative Aide I,Filled,Regular,2
Region V - Bicol,Division of Naga City,Non-Teaching Personnel,Dentist II,Filled,CTI,2
Negros Island Region (NIR),Division of Victorias City,Teaching Personnel,Special Education Teacher I,Unfilled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region III - Central Luzon,Division of Angeles City,Security Personnel,Watchman I,Filled,Regular,2
Region V - Bicol,Division of Naga City,Non-Teaching Personnel,Disbursing Officer II,Filled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Teaching Personnel,Special Education Teacher II,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Related-Teaching Personnel,School Librarian III,Filled,Regular,2
Region IVB - MIMAROPA,Division of Calapan City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region III - Central Luzon,Division of Angeles City,Related-Teaching Personnel,Guidance Counselor I,Unfilled,Regular,2
Region I - Ilocos,Division of Ilocos Norte,Security Personnel,Security Guard II,Filled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region IVB - MIMAROPA,Division of Calapan City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Non-Teaching Personnel,Social Welfare Officer I,Filled,Regular,2
National Capital Region (NCR),Division of Quezon City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,School Head Personnel,School Principal IV,Unfilled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Samar,Security Personnel,Security Guard I,Unfilled,CTI,2
Region VIII - Eastern Visayas,Division of Northern Samar,Teaching Personnel,Master Teacher IV,Filled,Regular,2
Region IVA - CALABARZON,Regional Office - Proper,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,2
Region IVB - MIMAROPA,Division of Calapan City,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Non-Teaching Personnel,Nurse II,Filled,CTI,2
Region VI - Western Visayas,Division of Antique,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,2
Region III - Central Luzon,Division of Angeles City,Teaching Personnel,Master Teacher II,Unfilled,Regular,2
Negros Island Region (NIR),Division of Himamaylan City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region IVA - CALABARZON,Division of Calamba City,Non-Teaching Personnel,Administrative Aide I,Filled,CTI,2
National Capital Region (NCR),Division of Manila,Non-Teaching Personnel,Administrative Aide IV,Filled,CTI,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Non-Teaching Personnel,Administrative Aide VI,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,School Head Personnel,School Principal IV,Unfilled,Regular,2
Region I - Ilocos,Regional Office - Proper,Non-Teaching Personnel,Accountant II,Filled,Regular,2
Region III - Central Luzon,Division of Malolos City,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Non-Teaching Personnel,Disbursing Officer II,Unfilled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
National Capital Region (NCR),Division of Mandaluyong,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region IVA - CALABARZON,Regional Office - Proper,Non-Teaching Personnel,Accountant II,Filled,Regular,2
Region I - Ilocos,Division of Batac City,School Head Personnel,School Principal IV,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,2
Region I - Ilocos,Division of Laoag City,Related-Teaching Personnel,Registrar I,Filled,Regular,2
Negros Island Region (NIR),Division of Himamaylan City,Non-Teaching Personnel,Dentist II,Unfilled,Regular,2
Region XIII - CARAGA,Division of Tandag City,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Non-Teaching Personnel,Administrative Aide IV,Filled,CTI,2
Negros Island Region (NIR),Division of Himamaylan City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region V - Bicol,Division of Naga City,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2
Region V - Bicol,Division of Naga City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Related-Teaching Personnel,Education Program Supervisor,Unfilled,Regular,2
Region III - Central Luzon,Division of Angeles City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Negros Island Region (NIR),Division of Himamaylan City,Related-Teaching Personnel,Guidance Counselor I,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,Teaching Personnel,Special Education Teacher II,Filled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Non-Teaching Personnel,Administrative Aide III,Unfilled,CTI,2
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Teaching Personnel,Master Teacher I,Unfilled,Regular,2
Negros Island Region (NIR),Division of San Carlos City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Teaching Personnel,Master Teacher III,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Teaching Personnel,Master Teacher IV,Filled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,School Head Personnel,School Principal IV,Filled,Regular,2
Region III - Central Luzon,Division of San Fernando City,Related-Teaching Personnel,Head Teacher II,Filled,Regular,2
Negros Island Region (NIR),Division of Himamaylan City,Non-Teaching Personnel,Administrative Officer I,Filled,Regular,2
Negros Island Region (NIR),Division of Himamaylan City,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Farm Worker I,Filled,CTI,2
Region V - Bicol,Division of Naga City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,School Head Personnel,Assistant School Principal II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Southern Leyte,Teaching Personnel,Teacher VII,Filled,Regular,2
Negros Island Region (NIR),Division of Himamaylan City,Non-Teaching Personnel,Administrative Assistant II,Unfilled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Non-Teaching Personnel,Administrative Officer I,Filled,Regular,2
Region III - Central Luzon,Division of Mabalacat City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Aide II,Filled,CTI,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Aide II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Dentist II,Filled,CTI,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Aide IV,Unfilled,CTI,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Dental Aide,Filled,CTI,2
Region III - Central Luzon,Division of Angeles City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Assistant III,Unfilled,CTI,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Officer I,Filled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Officer II,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Officer III,Unfilled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,Related-Teaching Personnel,Guidance Counselor III,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,Related-Teaching Personnel,Guidance Counselor II,Unfilled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Non-Teaching Personnel,Dental Aide,Filled,CTI,2
Region IVB - MIMAROPA,Division of Marinduque,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Construction and Maintenance Man,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Dentist II,Filled,Regular,2
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,School Librarian I,Filled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,Registrar I,Unfilled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
National Capital Region (NCR),Division of San Juan City,Non-Teaching Personnel,Administrative Aide III,Filled,Regular,2
National Capital Region (NCR),Division of Manila,Non-Teaching Personnel,Librarian II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region II - Cagayan Valley,Division of Cauayan City,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region V - Bicol,Division of Naga City,Related-Teaching Personnel,Guidance Coordinator III,Filled,Regular,2
Region V - Bicol,Division of Naga City,Related-Teaching Personnel,Guidance Counselor I,Filled,Regular,2
Region XIII - CARAGA,Division of Surigao del Sur,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Related-Teaching Personnel,Guidance Counselor III,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Administrative Aide III,Filled,CTI,2
Region VIII - Eastern Visayas,Division of Northern Samar,Non-Teaching Personnel,Administrative Aide II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Related-Teaching Personnel,Head Teacher II,Filled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Related-Teaching Personnel,Head Teacher III,Unfilled,Regular,2
Region II - Cagayan Valley,Division of Cauayan City,Non-Teaching Personnel,Administrative Aide IV,Unfilled,CTI,2
Negros Island Region (NIR),Regional Office - Proper,Non-Teaching Personnel,Administrative Officer I,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Related-Teaching Personnel,Registrar I,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Related-Teaching Personnel,School Librarian II,Filled,Regular,2
Region I - Ilocos,Division of Laoag City,Security Personnel,Security Guard II,Filled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Related-Teaching Personnel,Head Teacher III,Unfilled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Related-Teaching Personnel,Head Teacher IV,Unfilled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Related-Teaching Personnel,Head Teacher V,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Security Personnel,Watchman I,Filled,Regular,2
National Capital Region (NCR),Division of Malabon City,School Head Personnel,Assistant School Principal II,Unfilled,Regular,2
Region IVA - CALABARZON,Division of Calamba City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region III - Central Luzon,Division of Pampanga,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2
National Capital Region (NCR),Division of Manila,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Related-Teaching Personnel,Head Teacher VI,Filled,Regular,2
National Capital Region (NCR),Division of Malabon City,Related-Teaching Personnel,Senior Education Program Specialist,Unfilled,Regular,2
Region VIII - Eastern Visayas,Division of Tacloban City,Teaching Personnel,Special Science Teacher I,Unfilled,Regular,2
National Capital Region (NCR),Division of Malabon City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2
National Capital Region (NCR),Division of Manila,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Negros Island Region (NIR),Division of Victorias City,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region IVA - CALABARZON,Division of Tayabas City,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Maasin City,Teaching Personnel,Master Teacher IV,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Maasin City,Teaching Personnel,Master Teacher II,Unfilled,Regular,2
National Capital Region (NCR),Division of Manila,Related-Teaching Personnel,Assistant Schools Division Superintendent,Filled,Regular,2
National Capital Region (NCR),Division of Malabon City,Related-Teaching Personnel,Head Teacher III,Unfilled,Regular,2
Region VIII - Eastern Visayas,Regional Office - Proper,Non-Teaching Personnel,Accountant I,Filled,Regular,2
Region VIII - Eastern Visayas,Regional Office - Proper,Non-Teaching Personnel,Accountant II,Filled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,Related-Teaching Personnel,School Librarian I,Unfilled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,School Head Personnel,Assistant School Principal II,Filled,Regular,2
National Capital Region (NCR),Division of Manila,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2
Region VIII - Eastern Visayas,Division of Maasin City,School Head Personnel,School Principal IV,Filled,Regular,2
Region VIII - Eastern Visayas,Regional Office - Proper,Non-Teaching Personnel,Administrative Assistant II,Filled,CTI,2
Region II - Cagayan Valley,Division of Isabela,Non-Teaching Personnel,Administrative Officer V,Filled,Regular,2
Region II - Cagayan Valley,Division of Isabela,Non-Teaching Personnel,Agriculturist I,Unfilled,CTI,2
Negros Island Region (NIR),Division of Victorias City,Non-Teaching Personnel,Project Development Officer II,Filled,Regular,2
Region IVB - MIMAROPA,Division of Marinduque,School Head Personnel,School Principal II,Unfilled,Regular,2
Region VIII - Eastern Visayas,Regional Office - Proper,Non-Teaching Personnel,Administrative Officer I,Filled,Regular,2
Region VI - Western Visayas,Division of Iloilo,Non-Teaching Personnel,Administrative Aide II,Unfilled,CTI,2
Region IVA - CALABARZON,Division of Tayabas City,Non-Teaching Personnel,Administrative Officer I,Filled,Regular,2
Region VIII - Eastern Visayas,Regional Office - Proper,Non-Teaching Personnel,Chief Administrative Officer,Filled,Regular,2
Region XIII - CARAGA,Division of Tandag City,Related-Teaching Personnel,Head Teacher II,Filled,Regular,2
National Capital Region (NCR),Division of Manila,Related-Teaching Personnel,Education Program Specialist II,Unfilled,CTI,2
