region,sdo,size,authorized_position,total_enrolment,teacher_count,school_count,classroom_count,psds_count,districts_count,legdist_count,locality,locality_classification,fixed_cost,schools_multiplier,teacher_multiplier,classroom_multiplier,enrolment_multiplier,staff_multiplier,total_mooe,district_school_ratio,excess_school,additional_districts_needed,latitude,longitude,match_key
Region III,Nueva Ecija,L,142,"315,456",13177,764,13352,33,30,4,Province,,"2,400,000","3,120",1430,143,8,12000,"32,732,000",450,463,31,15.7330203,120.9316058,regioniii_nuevaecija
Region III,Olongapo City,M,84,"46,300",1861,40,1515,10,4,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,134,000",60,-9,-1,14.84984,120.2928418,regioniii_olongapo
Region III,Pampanga,L,142,"326,913",12685,572,12023,33,33,4,Province,,"2,400,000","3,120",1430,143,8,12000,"31,929,000",495,197,13,15.0297869,120.6876474,regioniii_pampanga
Region III,San Fernando City,M,84,"63,450",2570,46,1776,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,825,000",45,46,3,15.060396,120.6469397,regioniii_sanfernando
Region III,San Jose City,S,61,"31,223",1170,61,1235,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,421,000",30,41,3,15.7990725,120.966479,regioniii_sanjose
Region III,Science City of Muñoz,S,61,"18,255",1155,38,907,0,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,425,000",15,29,2,15.7210193,120.8898994,regioniii_sciencecitymuoz
Region III,Tarlac,L,142,"239,607",9392,508,8723,33,28,3,Province,,"2,400,000","3,120",1430,143,8,12000,"24,710,000",420,197,13,15.4831532,120.5897344,regioniii_tarlac
Region III,Tarlac City,M,84,"64,770",2365,99,2257,10,9,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"9,069,000",135,-15,-1,15.4751798,120.607036,regioniii_tarlac
Region III,Zambales,M,84,"139,287",5672,316,6315,10,15,2,Province,,"2,400,000","3,120",1430,143,8,12000,"15,983,000",225,195,13,15.3228137,119.9832776,regioniii_zambales
Region IV-A,Antipolo City,M,84,"171,061",5658,68,3098,10,7,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"14,988,000",105,-19,-1,14.5905459,121.1835413,iva_antipolo
Region IV-A,Bacoor City,S,61,"79,364",2868,44,1659,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"9,008,000",30,13,1,14.4308782,120.9686275,iva_bacoor
Region IV-A,Batangas,L,142,"325,185",13997,702,13547,33,33,4,Province,,"2,400,000","3,120",1430,143,8,12000,"32,699,000",495,302,20,13.7606326,121.0636921,iva_batangas
Region IV-A,Batangas City,M,84,"59,184",2416,109,2524,10,7,3,City,Component City,"2,400,000","3,120",1430,143,8,12000,"9,144,000",105,20,1,13.7595296,121.0632701,iva_batangas
Region IV-A,Binan City,M,84,"61,312",2089,41,1557,10,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,238,000",15,29,2,14.3362641,121.0821667,iva_binan
Region IV-A,Cabuyao City,M,84,"57,082",1900,29,1304,10,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,695,000",75,-40,-3,14.2533455,121.1400738,iva_cabuyao
Region IV-A,Calamba City,M,84,"19,012",3274,38,2459,10,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"10,235,000",45,45,3,14.1948634,121.160827,iva_calamba
Region IV-A,Cavite,L,142,"101,976",12490,73,9134,33,3,4,Province,,"2,400,000","3,120",1430,143,8,12000,"31,646,000",300,76,5,14.2784643,120.8676613,iva_cavite
Region IV-A,Cavite City,S,61,"18,572",876,11,697,0,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,594,000",45,-29,-2,14.4811,120.8972,iva_cavite
